Наименование;Артикул;Бренд;Модель;Тип;Технология экрана;Материал корпуса;Материал браслета;Размер;Сайт производителя;Наличие;Цена;Старая цена;Ссылка на карточку с товаром
Jet Kid Start blue Умные детские часы;80235265;"
";Бренд: Jet;"
";Модель: Excidium;"
";Тип подключения: умные часы;"
";Технология экрана: Монохромный;"
";Материал корпуса: пластик;"
";Материал браслета: силикон;"
";Размеры: 54х34х12 мм;"
";Сайт производителя: www.jetdevice.com;"
";5;2310;3550;watch/1/1_1.html
Фитнес- браслет BAND 6 FOREST GREEN FARA-B19 HUAWEI;80581842;"
";Бренд: Huawei;"
";Модель: Band 6 FRA-B19;"
";Тип: фитнес браслет;"
";Технология экрана: AMOLED;"
";Материал корпуса: полимер;"
";Материал браслета: силикон;"
";Размеры: 54х34х12 мм;"
";Сайт производителя: www.huawei.ru;"
";15;5480;8565;watch/1/1_2.html
Умные часы GT 3 MIL-B19S BLACK HUAWEI;8058184234;"
";Бренд: Huawei;"
";Модель: Band 6 FRA-B19;"
";Тип: фитнес браслет;"
";Технология экрана: AMOLED;"
";Материал корпуса: полимер;"
";Материал браслета: силикон;"
";Размеры: 54х34х12 мм;"
";Сайт производителя: www.huawei.ru;"
";15;21810;22565;watch/1/1_3.html
Умные часы GT 3 MIL-B19V BROWN HUAWEI;80615308;"
";Бренд: Huawei;"
";Модель: GT 3 MIL-B19V;"
";Тип: умные часы;"
";Технология экрана: AMOLED;"
";Материал корпуса: нержавеющая сталь;"
";Материал браслета: кожа;"
";Размеры: 42.3 х 42.3 х 10 мм;"
";Сайт производителя: www.huawei.ru;"
";22;21810;23800;watch/1/1_4.html
Умные часы GT RUNNER-B19S BLACK HUAWEI;80616445;"
";Бренд: Huawei;"
";Модель: GT RUNNER-B19S;"
";Тип: умные часы;"
";Технология экрана: AMOLED;"
";Материал корпуса: пластик;"
";Материал браслета: силикон;"
";Размеры: 46.4 х 46.4 х 11 мм;"
";Сайт производителя: www.huawei.ru;"
";10;27770;30170;watch/1/1_5.html
Умные часы GT RUNNER-B19A GREY HUAWEI;80616446;"
";Бренд: Huawei;"
";Модель: GT RUNNER-B19A;"
";Тип: умные часы;"
";Технология экрана: AMOLED;"
";Материал корпуса: пластик;"
";Материал браслета: силикон;"
";Размеры: 46.4 х 46.4 х 11 мм;"
";Сайт производителя: www.huawei.ru;"
";7;27770;29000;watch/1/1_6.html
Умные часы GT 3 MIL-B19 GOLD HUAWEI;80616447;"
";Бренд: Huawei;"
";Модель: GT 3 MIL-B19;"
";Тип: умные часы;"
";Технология экрана: AMOLED;"
";Материал корпуса: нержавеющая сталь, пластик;"
";Материал браслета: нержавеющая сталь;"
";Размеры: 42.3 х 42.3 х 10 мм;"
";Сайт производителя: www.huawei.ru;"
";8;24230;24480;watch/1/1_7.html
Умные часы WATCH 3 GALILEO-L11 STEEL HUAWEI;80590693;"
";Бренд: Huawei;"
";Модель: Watch 3 Galileo-L21E;"
";Тип: умные часы;"
";Технология экрана: AMOLED;"
";Материал корпуса: металл, керамика;"
";Материал браслета: кожа;"
";Размеры: 46.2 х 46.2 х 12.15 мм;"
";Сайт производителя: www.huawei.ru;"
";18;32600;32900;watch/1/1_8.html
Умные часы GT 3 JPT-B19V BROWN HUAWEI;80609751;"
";Бренд: Huawei;"
";Модель: GT 3 JPT-B19V;"
";Тип: умные часы;"
";Технология экрана: AMOLED;"
";Материал корпуса: нержавеющая сталь, пластик;"
";Материал браслета: кожа;"
";Размеры: 45.9 х 45.9 х 11 мм;"
";Сайт производителя: www.huawei.ru;"
";40;24230;24480;watch/1/1_9.html
Умные часы FIT ELEGANT TIA-B29 MIDNIGHT BLACK HUAWEI;80578978;"
";Бренд: Huawei;"
";Модель: Fit Elegant TIA-B29;"
";Тип: умные часы;"
";Технология экрана: AMOLED;"
";Материал корпуса: нержавеющая сталь;"
";Материал браслета: силикон;"
";Размеры: 30 х 46 х 10.7 мм;"
";Сайт производителя: www.huawei.ru;"
";32;11460;11580;watch/1/1_10.html
Умные часы GT 2 MATTE BLACK LTN-B19 HUAWEI;80578980;"
";Бренд: Huawei;"
";Модель: Fit Elegant TIA-B29;"
";Тип: Смарт-часы;"
";Технология экрана: AMOLED;"
";Материал корпуса: пластик, металл;"
";Материал браслета: резина;"
";Размеры: 45.9 х 45.9 х 10.7 мм;"
";Сайт производителя: www.huawei.ru;"
";17;15850;16010;watch/1/1_11.html
Умные часы GT 2 PEBBLE BROWN LTN-B19 HUAWEI;8105728981;"
";Бренд: Huawei;"
";Модель: GT 2 LTN-B19V;"
";Тип: умные часы;"
";Технология экрана: AMOLED;"
";Материал корпуса: пластик, металл;"
";Материал браслета: кожа;"
";Размеры: 45.9 х 45.9 х 10.7 мм;"
";Сайт производителя: www.huawei.ru;"
";24;17070;17250;watch/1/1_12.html
Умные часы GT 2 PRO VID-B19 NEBULA GRAY HUAWEI;80581843;"
";Бренд: Huawei;"
";Модель: GT 2 Pro Vidar-B19V;"
";Тип: Смарт-часы;"
";Технология экрана: AMOLED;"
";Материал корпуса: титан;"
";Материал браслета: кожа;"
";Размеры: 46.7 х46.7 х11.4 мм;"
";Сайт производителя: www.huawei.ru;"
";55;27770;28050;watch/1/1_13.html
Умные часы GT 2 PRO VID-B19 NIGHT BLACK HUAWEI;80581844;"
";Бренд: Huawei;"
";Модель: GT 2 Pro Vidar-B19S;"
";Тип: Смарт-часы;"
";Технология экрана: AMOLED;"
";Материал корпуса: титан;"
";Материал браслета: силикон;"
";Размеры: 46.7 х46.7 х11.4 мм;"
";Сайт производителя: www.huawei.ru;"
";37;24230;24480;watch/1/1_14.html
Умные часы FIT ELEGANT TIA-B29 FROSTY WHITE HUAWEI;80578979;"
";Бренд: Huawei;"
";Модель: Fit Elegant TIA-B29;"
";Тип: умные часы;"
";Технология экрана: AMOLED;"
";Материал корпуса: нержавеющая сталь;"
";Материал браслета: силикон;"
";Размеры: 30 х 46 х 10.7 мм;"
";Сайт производителя: www.huawei.ru;"
";7;11460;11580;watch/1/1_15.html
Умные часы FIT TIA-B09 GRAPHITE BLACK HUAWEI;80598423;"
";Бренд: Huawei;"
";Модель: Fit TIA-B09;"
";Тип: умные часы;"
";Технология экрана: AMOLED;"
";Материал корпуса: металл;"
";Материал браслета: силикон;"
";Размеры: 30 х 46 х 10.7 мм;"
";Сайт производителя: www.huawei.ru;"
";21;9040;9130;watch/1/1_16.html
Умные часы KIDS 4 PRO ASN-AL10 BLUE HUAWEI;80605938;"
";Бренд: Huawei;"
";Модель: KIDS 4 PRO;"
";Тип: Смарт-часы;"
";Технология экрана: AMOLED;"
";Материал корпуса: пластик;"
";Материал браслета: силикон;"
";Размеры: 41 х 52 х 14.55 мм;"
";Сайт производителя: www.huawei.ru;"
";57;15850;16850;watch/1/1_17.html
Умные часы KIDS 4 PRO ASN-AL10 PINK HUAWEI;80605939;"
";Бренд: Huawei;"
";Модель: KIDS 4 PRO;"
";Тип: Смарт-часы;"
";Технология экрана: AMOLED;"
";Материал корпуса: пластик;"
";Материал браслета: силикон;"
";Размеры: 41 х 52 х 14.55 мм;"
";Сайт производителя: www.huawei.ru;"
";58;15850;16010;watch/1/1_18.html
GT 2 NIGHT BLACK DIANA-B19S HUAWEI;80605940;"
";Бренд: Huawei;"
";Модель: Watch GT 2 Diana-B19S;"
";Тип: Смарт-часы;"
";Технология экрана: AMOLED;"
";Материал корпуса: пластик, металл;"
";Материал браслета: силикон;"
";Размеры: 41.8 х 41.8 х 9.4 мм;"
";Сайт производителя: www.huawei.ru;"
";29;15850;16010;watch/1/1_19.html
Умные часы GT 3 JPT-B19S BLACK HUAWEI;80609750;"
";Бренд: Huawei;"
";Модель: GT 3 JPT-B19S;"
";Тип: Смарт-часы;"
";Технология экрана: AMOLED;"
";Материал корпуса: нержавеющая сталь, пластик;"
";Материал браслета: резина;"
";Размеры: 45.9 х 45.9 х 11 мм;"
";Сайт производителя: www.huawei.ru;"
";42;24230;24480;watch/1/1_20.html
